,instructor,quality,difficulty,take_again,timestamp,course_number,department,course_name,questions,%response,contributions,avg_response_time,enrolled,%instructor_response,%active,semester
104,David Gries ,3,3,No,"Nov 19th, 2018",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
105,David Gries ,3,3,No,"Nov 19th, 2018",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
106,David Gries ,3,3,No,"Nov 19th, 2018",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
107,David Gries ,3,3,No,"Nov 19th, 2018",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
108,David Gries ,1,3,A-,"Feb 21st, 2018",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
109,David Gries ,1,3,A-,"Feb 21st, 2018",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
110,David Gries ,1,3,A-,"Feb 21st, 2018",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
111,David Gries ,1,3,A-,"Feb 21st, 2018",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
112,David Gries ,5,3,Yes,"Dec 28th, 2017",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
113,David Gries ,5,3,Yes,"Dec 28th, 2017",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
114,David Gries ,5,3,Yes,"Dec 28th, 2017",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
115,David Gries ,5,3,Yes,"Dec 28th, 2017",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
116,David Gries ,4,3,No,"Nov 28th, 2017",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
117,David Gries ,4,3,No,"Nov 28th, 2017",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
118,David Gries ,4,3,No,"Nov 28th, 2017",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
119,David Gries ,4,3,No,"Nov 28th, 2017",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
120,David Gries ,5,3,Yes,"Aug 18th, 2017",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
121,David Gries ,5,3,Yes,"Aug 18th, 2017",2110, CS,CS 2110,1524,100,5754,4,590,74,57,FA19
122,David Gries ,5,3,Yes,"Aug 18th, 2017",2110, CS,CS 2110,2216,100,14115,1,667,99,69,SP20
123,David Gries ,5,3,Yes,"Aug 18th, 2017",2110, CS,CS 2110,2036,100,12742,6,662,90,61,SP18
124,David Gries ,3,3,Yes,"May 15th, 2017",2110, CS,CS 2110,2147,100,11442,3,721,91,58,SP19
